ID,Smiles,Mass_max,Mass_min,Mass_ave,Charge_max,Charge_min,Charge_ave,Epsilon_max,Epsilon_min,Epsilon_ave,Sigma_max,Sigma_min,Sigma_ave,K_bond_max,K_bond_min,K_bond_ave,R0_max,R0_min,R0_ave,K_ang_max,K_ang_min,K_ang_ave,Theta0_max,Theta0_min,Theta0_ave,K_dih_max,K_dih_min,K_dih_ave
PI515,*CCC=C(*)Cl,35.453,1.008,8.8537,0.05880548967973815,-0.08949054788020198,6.938893903907229e-19,0.2638,0.0161,0.07762999999999999,3.465952373053176,2.600176998764394,2.991798257284525,481.83,192.7,331.403,1.731,1.088,1.3099000000000003,72.331,38.96,52.774109310715694,123.63,107.58,113.35527777777779,6.65,0.0,1.295111111111111
PI1041,*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,18.998,1.008,10.69604918032787,0.41072422284137766,-0.5057502989588241,-5.00510379953964e-18,0.1636,0.0047,0.08418196721311474,3.397709531243626,0.5379246460131368,3.036217883175121,652.57,232.52,384.0013432835822,1.538,0.973,1.3259999999999998,121.555,48.68,71.60525663716814,127.08,107.36,118.49292035398231,3.625,0.0,2.3596067415730335
PI1042,*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(C8(c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9)CCCCCCCCCCC8)cc7)cc6C5=O)cc4)cc3C)c(C)c2)cc1,15.999,1.008,7.614999999999998,0.2657820763623219,-0.4573707001697285,-6.7286243916676156e-18,0.1636,0.0161,0.06729393939393939,3.397709531243626,2.600176998764394,3.0110297909467807,652.57,232.52,366.58951048951053,1.538,1.086,1.2895174825174824,113.811,38.96,59.996564,127.08,107.58,116.6728,3.625,0.0,2.0546527777777777
PI1043,*c1ccc(Cc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCCCCCCCCCC6)cc5)cc4C3=O)cc2)cc1,15.999,1.008,7.5416728971962605,0.26578204537022243,-0.45735712925290994,-4.1503664471968466e-18,0.1636,0.0161,0.06789158878504672,3.397709531243626,2.600176998764394,3.0075691628731067,652.57,232.52,364.9505172413794,1.538,1.086,1.2907241379310344,113.811,38.96,59.56735922330097,127.08,107.58,116.3393203883495,3.625,0.0,1.8660699588477363
PI1044,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCCCCCCCCCC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,15.999,1.008,7.477624999999998,0.26578207636232204,-0.45736609453042426,0.0,0.1636,0.0161,0.06656015625,3.397709531243626,2.600176998764394,3.0022201018516705,652.57,232.52,364.50463768115947,1.538,1.086,1.2871521739130434,113.811,38.96,59.612475409836065,127.08,107.58,116.07622950819672,3.625,0.0,1.8650309460654286
PI1047,*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCCCCCCCCCC9)cc8)cc7C6=O)cc5)cc4)CCC(C(C)(C)C)CC3)cc2)cc1,15.999,1.008,7.242727272727272,0.2657820763623219,-0.4573815446230481,-2.8836961678575496e-18,0.1636,0.0161,0.06511038961038962,3.397709531243626,2.600176998764394,2.9940953875637395,652.57,232.52,360.31867469879523,1.538,1.086,1.2867469879518072,113.811,38.96,58.61046308724831,127.08,107.58,115.60570469798655,3.625,0.0,1.7006241134751772
PI1048,*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCCCCCCCCCC9)cc8)cc7C6=O)cc5)cc4)C4CC5CC(C4)CC3C5)cc2)cc1,15.999,1.008,7.408986666666666,0.2657820763623219,-0.4573815446002283,-5.921189464667502e-18,0.1636,0.0161,0.066292,3.397709531243626,2.600176998764394,3.0045998779317222,652.57,232.52,358.3796341463415,1.538,1.086,1.294439024390244,113.811,38.96,59.06393959731544,127.08,107.58,115.68825503355704,3.625,0.0,1.6458060109289614
PI1049,*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c3)cc1)C2=O,18.998,1.008,10.008093333333333,0.41072220622335803,-0.45735835405735004,-4.440892098500626e-18,0.1636,0.0161,0.07942133333333333,3.397709531243626,2.62547852235958,3.090033501406508,652.57,232.52,378.70156626506036,1.538,1.086,1.3194457831325301,121.555,48.68,69.37459285714286,127.08,107.36,118.8575,3.625,0.0,2.648073394495413
PI1050,*c1ccc(Oc2ccc3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3c2)cc1,15.999,1.008,9.365857142857141,0.26566883358154064,-0.45735835405735004,-3.96508223080413e-18,0.1636,0.0161,0.07994285714285713,3.3152123099438304,2.62547852235958,3.0885867667357454,652.57,272.66,388.83095238095245,1.491,1.086,1.310698412698413,113.811,48.68,67.30601923076922,127.08,115.25,120.25173076923078,3.625,0.5225,2.972439024390244
PI1051,*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,30.974,1.008,11.804370786516854,0.4159500735877355,-0.30863174253868153,1.1226974406321807e-17,0.2295,0.0161,0.08604831460674156,3.6940224448971026,2.62547852235958,3.1184298002731556,652.57,189.18,366.3007216494845,1.816,1.086,1.3539381443298968,121.555,46.314,73.9401369047619,127.08,107.36,117.74380952380952,3.625,0.0,2.5058943089430894
PI1052,*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c1,30.974,1.008,11.425488372093021,0.4159467693184985,-0.3086321699627067,9.036699037646624e-18,0.2295,0.0161,0.0850813953488372,3.6940224448971026,2.62547852235958,3.1123878215430207,652.57,189.18,368.2831914893618,1.816,1.086,1.3494893617021275,121.555,46.314,72.59368518518518,127.08,107.36,118.03574074074075,3.625,0.0,2.568541666666667
