"Note: 1) 104 polymers sorted by calculated thermal conductivity; 2) All data was generated using the RadonPy Toolkit, more details can be found in the RandonPy associated literature (Y. Hayashi, J. Shiomi, J. Morikawa, R. Yoshida, npj Comput Mater 2022, 8, 1–15.). 3) If you want to use the following data, please cite the references of our work and the RandonPy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SMILES,thermal_conductivity,TC_ke,TC_pe,TC_pair,TC_bond,TC_angle,TC_dihed,TC_improper,TC_kspace,TC_fix,density,Rg,self-diffusion,Cp,Cv,compressibility,isentropic_compressibility,bulk_modulus,isentropic_bulk_modulus,volume_expansion,linear_expansion,r2,static_dielectric_const,nematic_order_parameter,qm_polarizability,qm_polarizability_xx,qm_polarizability_yy,qm_polarizability_zz,qm_polarizability_xy,qm_polarizability_xz,qm_polarizability_yz,MW,Refractive_index
AP12,[*]Nc1ccc(C#Cc2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,0.587694282,0.005609108,-0.031557245,0.064005223,0.303794074,0.157260358,0.09081498,0.003569109,-0.005801325,0,1.174151578,54.0681256,5.16E-13,2726.004754,2704.231213,2.37E-10,2.36E-10,4210862395,4244883833,0.000141241,4.71E-05,230.9287491,1.703942903,0.107088765,48.44045958,82.10740837,28.07787744,35.13609293,-4.77931586,8.178593166,3.057455476,338.38,1.79118553
AP13,*c1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)nc1,0.582083198,0.011932072,0.005677053,0.053095497,0.237644125,0.151447781,0.120420809,0.001290405,0.000575456,0,1.181870163,57.78951592,7.52E-13,2504.877617,2489.901477,4.99E-10,4.96E-10,2.01E+09,2.02E+09,0.000166817,5.56E-05,249.6002887,1.277752523,0.143670324,64.79809468,102.7280718,46.02091152,45.64530073,2.395862611,5.537471024,-8.052404354,493.49,1.711687523
AP14,*C=CC=CN1C(=O)c2cc3c(cc2C1=O)Oc1cc2c(cc1C3)C(=O)N(*)C2=O,0.579938204,-0.006410828,-0.002643047,0.035518208,0.273102216,0.15051228,0.126833811,0.000409148,0.002616416,0,1.261613783,65.51506077,1.62E-13,2486.460786,2477.758145,2.68E-10,2.67E-10,3.73E+09,3.74E+09,0.0000979,3.26E-05,351.8638961,1.295019505,0.0841538,44.93189505,72.57248797,28.53173157,33.69146561,-0.472650777,-3.152071499,9.653017382,370.33,1.699122034
AP15,[*]c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)ccc1-2,0.566191419,0.020642449,-0.003112003,0.071158579,0.258506555,0.094267207,0.119471594,0.001248057,0.004008983,0,1.199060316,55.98265226,1.13E-13,2496.422367,2487.567345,3.29E-10,3.27E-10,3042969900,3053801261,0.000107717,3.59E-05,269.9774056,1.232585959,0.057095785,45.61866993,71.62454606,34.04534685,31.18611687,-0.57553489,-0.584109901,-8.438194255,378.35,1.649890577
AP16,*c1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)cc1,0.563553989,0.009521106,0.003396608,0.05180026,0.245339445,0.147525803,0.107089736,0.000542845,-0.001661815,0,1.092644059,57.8128235,5.14E-13,2586.468474,2563.243198,6.42E-10,6.36E-10,1.62E+09,1.63E+09,0.00023201,7.73E-05,309.7002953,1.241123829,0.094093435,65.71296443,104.1471417,38.16704205,54.82470953,-0.788008876,-2.695670229,1.588592034,492.5,1.656811499
AP17,[*]c1ccc2cc(-c3nc4ccc(-c5ccc6nc([*])[nH]c6c5)cc4[nH]3)ccc2c1,0.552997618,0.009441106,0.0000837,0.04499393,0.246030967,0.138155423,0.108013814,0.002501607,0.003777085,0,1.200927072,46.85726214,1.36E-12,3348.590872,2721.766733,1.27E-09,1.03E-09,787215837.8,968555658.3,0.001780801,5.94E-04,141.6934596,1.208179762,0.069920693,51.8543793,84.2180584,33.26318644,38.08189306,1.600997396,0.409789,8.918347507,358.42,1.82776286
AP18,[*]c1nc2cc3nc(-c4ccc([*])o4)[nH]c3cc2[nH]1,0.546994914,0.031646744,0.01171003,0.039479972,0.171529986,0.156820038,0.140020442,0.00024495,-0.004457248,0,1.238324153,37.28475586,5.16E-14,2412.973837,2399.25977,2.85E-10,2.84E-10,3504403427,3524409120,0.000126929,4.23E-05,69.97011518,1.324319707,0.055170111,27.69980783,45.75973799,17.27418164,20.06550386,-2.423494681,-3.391696703,-4.790439105,222.22,1.706749741
AP19,[*]Nc1ccc(NC(=O)c2ccc(C([*])=O)cc2)cc1,0.545133326,0.003300753,-0.011588249,0.063919525,0.256134819,0.129694129,0.097765866,0.003734233,0.00217225,0,1.255630934,43.84088879,7.05E-13,3020.14553,3009.600188,2.33E-10,2.32E-10,4293467559,4308345196,9.01E-05,3.00E-05,94.88862407,1.882128084,0.096102558,29.69229161,46.266106,20.15785445,22.65291438,-1.705796165,0.674580403,-5.350277439,238.26,1.719424549
AP20,[*]c1ccc(-c2ccc(-c3nc4ccc(-c5ccc6nc([*])oc6c5)cc4o3)cc2)cc1,0.542376563,0.009568583,0.011502546,0.057403875,0.197888579,0.151409422,0.109010626,0.001281469,0.004311464,0,1.159624341,46.46331474,1.89E-12,3095.228296,2986.399661,5.48E-10,5.27E-10,1902099923,1964677673,0.000471994,1.57E-04,160.4826832,1.063950762,0.073436774,54.06733405,92.14203827,41.06316506,28.99679882,0.066309746,2.885673269,-2.378187638,386.42,1.75460616
AP21,*C=CC=CN1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O,0.533265964,0.001762232,-0.005960136,0.043837932,0.255377369,0.144270539,0.094798805,0.000837043,-0.001657821,0,1.198821369,52.4481864,4.68E-13,2545.072173,2530.511121,3.69E-10,3.67E-10,2.72E+09,2.73E+09,0.000146391,4.88E-05,187.7012253,1.248959129,0.043256612,65.13749955,106.0380155,51.85018062,37.52430252,-2.738368554,2.539383232,5.874451705,468.48,1.782301879
